"batch_id","last_chng_mn_usid","last_chng_dt","load_table","stat_code","item_code","data_cycle"
BAR10001,"8150918",2023-10-06 09:21:51.281,MKBSSD,"101Y019",BBLA00,A
BAR10002,"8150918",2023-10-06 09:21:51.281,MKBSSD,"101Y019",BBLA00,M
BAR10003,"8150918",2023-10-06 09:21:51.281,MKBSSD,"101Y019",BBLA00,Q
BAR10004,"8150918",2023-10-06 09:21:51.281,MKBSSD,"101Y004",BBHA00,A
BAR10005,"8150918",2023-10-06 09:21:51.281,MKBSSD,"101Y004",BBHA00,M
BAR10006,"8150918",2023-10-06 09:21:51.281,MKBSSD,"101Y004",BBHA00,Q
BAR10007,"8150918",2023-10-06 09:21:51.281,MKBSSD,"111Y004",LA00000,A
BAR10008,"8150918",2023-10-06 09:21:51.281,MKBSSD,"111Y004",LA00000,M
BAR10009,"8150918",2023-10-06 09:21:51.281,MKBSSD,"111Y004",LA00000,Q
BAR10010,"8150918",2023-10-06 09:21:51.281,MKBSSD,"112Y002",X000000,A
BAR10011,"8150918",2023-10-06 09:21:51.281,MKBSSD,"112Y002",X000000,M
BAR10012,"8150918",2023-10-06 09:21:51.281,MKBSSD,"112Y002",X000000,Q
BAR10013,"8150918",2023-10-06 09:21:51.281,MKBSSD,"104Y015",BDAA1,A
BAR10014,"8150918",2023-10-06 09:21:51.281,MKBSSD,"104Y015",BDAA1,M
BAR10015,"8150918",2023-10-06 09:21:51.281,MKBSSD,"104Y015",BDAA1,Q
BAR10016,"8150918",2023-10-06 09:21:51.281,MKBSSD,"104Y016",BDCA1,A
BAR10017,"8150918",2023-10-06 09:21:51.281,MKBSSD,"104Y016",BDCA1,M
BAR10018,"8150918",2023-10-06 09:21:51.281,MKBSSD,"104Y016",BDCA1,Q
BAR10019,"8150918",2023-10-06 09:21:51.281,MKBSSD,"151Y001","1000000",A
BAR10020,"8150918",2023-10-06 09:21:51.281,MKBSSD,"151Y001","1000000",Q
BAR10021,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y054",MO3ABAB,A
BAR10022,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y054",MO3ABAB,M
BAR10023,"8150918",2023-10-06 09:21:51.281,MKBSSD,"722Y001","0101000",A
BAR10024,"8150918",2023-10-06 09:21:51.281,MKBSSD,"722Y001","0101000",D
BAR10025,"8150918",2023-10-06 09:21:51.281,MKBSSD,"722Y001","0101000",M
BAR10026,"8150918",2023-10-06 09:21:51.281,MKBSSD,"722Y001","0101000",Q
BAR10027,"8150918",2023-10-06 09:21:51.281,MKBSSD,"817Y002","010502000",D
BAR10028,"8150918",2023-10-06 09:21:51.281,MKBSSD,"817Y002","010150000",D
BAR10029,"8150918",2023-10-06 09:21:51.281,MKBSSD,"817Y002","010200000",D
BAR10030,"8150918",2023-10-06 09:21:51.281,MKBSSD,"817Y002","010200001",D
BAR10031,"8150918",2023-10-06 09:21:51.281,MKBSSD,"817Y002","010102000",D
BAR10032,"8150918",2023-10-06 09:21:51.281,MKBSSD,"817Y002","010400001",D
BAR10033,"8150918",2023-10-06 09:21:51.281,MKBSSD,"817Y002","010300000",D
BAR10034,"8150918",2023-10-06 09:21:51.281,MKBSSD,"121Y002",BEABAA2,A
BAR10035,"8150918",2023-10-06 09:21:51.281,MKBSSD,"121Y002",BEABAA2,M
BAR10036,"8150918",2023-10-06 09:21:51.281,MKBSSD,"121Y002",BEABAA2,Q
BAR10037,"8150918",2023-10-06 09:21:51.281,MKBSSD,"121Y006",BECBLA01,A
BAR10038,"8150918",2023-10-06 09:21:51.281,MKBSSD,"121Y006",BECBLA01,M
BAR10039,"8150918",2023-10-06 09:21:51.281,MKBSSD,"121Y006",BECBLA01,Q
BAR10040,"8150918",2023-10-06 09:21:51.281,MKBSSD,"802Y001","0089000",D
BAR10041,"8150918",2023-10-06 09:21:51.281,MKBSSD,"802Y001","0001000",D
BAR10042,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y014","1060000",A
BAR10043,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y014","1060000",M
BAR10044,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y056",S23A,A
BAR10045,"8150918",2023-10-06 09:21:51.281,MKBSSD,"901Y056",S23A,M
